ACCE_ABSORB_COST	تكاليف الدمج: %d
PET_INFORMATION_STAGE2	بري وحشي
PET_INFORMATION_STAGE3	برّي قوي
PET_INFORMATION_STAGE4	بطل
PET_INFO_EXP	الخبرة الحالية:
PET_INFO_ITEM_EXP	بند EXP الحالي
PET_INFO_NEXT_EXP	الخبرة المتبقّية:
PET_INFO_NEXT_ITEM_EXP	ما تبقى من بند EXP
PET_MSG_NOT_ENOUGH_MONEY	إنك لا تملك ما يكفي من اليانغ.
PET_NAME_CHANGE_ACCEPT	هل تريد تغيير اسم رفيقك إلى "%s"؟
PET_NAME_MIN	الاسم قصير.
PET_REVIVE_FAIL_EMPTY_PET_SLOT	لا يوجد رفيق لاسترجاع حياته.
PET_REVIVE_FAIL_NOT_ENOUGHT_MATERIAL	ليس لديك مواد كافية.
PET_REVIVE_UI_MATERIAL_COUNT	%d/%d
PET_SKILL_DELETE_QUESTION_DLG_MSG	أصبحت المهارات مُتاحة الآن.
PET_SKILL_DELETE_QUESTION_DLG_MSG1	إعادة توزيع مهارة رفيقك لا رجعة فيه.
PET_SKILL_DELETE_QUESTION_DLG_MSG2	هل ترغب في المتابعة؟
PET_SKILL_LEARN_FAIL_CONDITIONS	رفيقك ليس كبيرا بما يكفي، او لم يصل الى المستوى المطلوب بعد. يمكن فقط للرفاق الأبطال تعلم المهارات.
PET_SKILL_LEARN_QUESTION_DLG_MSG	هل ترغب في بدء تدريب الأبطال مع "%s"؟
PET_SKILL_TOOLTIP_COOLTIME	الاستراحة الإجبارية: %d ثوان
PET_SKILL_TOOLTIP_DURATION	المدة: %d ثوان
PET_SKILL_TOOLTIP_FEATHER	يقوم هذا الرفيق بتفعيل المشي بخفة بفرصة %d%% لمدة %.1f ثانية.\n هجوم %d - %d	SAAAA
PET_SKILL_TOOLTIP_HEAL	ستحصل على فرصة بقيمة \n %d%% لرفع نقاط الحياة TP بنسبة %d، وذلك بمجرد هبوطها تحت مستوى 20%%.	SAA
PET_SKILL_TOOLTIP_INVINVIBILITY	سيُصبح لاعبك لا يقهر وذلك بفرص نجاح بنسبة %d%% ،\n إذا ما تدنّت نقاط حياتك تحت 10%%. \n مدة المفعول: %.1f ثانية.	SAA
PET_SKILL_TOOLTIP_REMOVAL	يُبعد فورًا جميع المؤثرات كالتسمم، والتبطيء \n أو النزيف، وذلك بنسبة نجاح تصل إلى %d%%،\n إذا كانت شخصيتك قد أصيبت.	SAN
PET_SKILL_UPGRADE_QUESTION_DLG_MSG1	هل ترغب في رفع تدريب الأبطال إلى المستوى التالي؟
PET_SKILL_UPGRADE_QUESTION_DLG_MSG2	التكلفة: %s
PET_TOOLTIP_COSTUME_BONUS	
PET_TOOLTIP_DEF	دفاع
PET_TOOLTIP_HP	نقاط الحياة
PET_TOOLTIP_LEVEL	مستوى
PET_TOOLTIP_LIFETIME_OVER	انتهت الصلاحية
PET_TOOLTIP_SKILL_BONUS_VALUE	في تدريب الأبطال
PET_TOOLTIP_SKILL_CUR_LEVEL	مستوى: %d
PET_TOOLTIP_SKILL_NEXT_LEVEL	المستوى التالي: %d (max. %d)
PET_TOOLTIP_SP	MP
PET_TOOLTIP_TRADABLE	قابل للمتاجرة
PET_TOOLTUP_SKILL	%s (مستوى %d)
PICK_ITEM_TITLE	رقم الشيء
PICK_MONEY_TITLE	المبلغ
POPUP_NOTICE_CHECKBOX_TEXT	لا تقم بعرضه مجددا اليوم
PREMIUM_PRIVATE_ITEM_ADD_LIMIT_WON	لا يجوز أن تتجاوز البنود المعروضة للبيع إجمالي القيمة المسموح بها.
PREMIUM_PRIVATE_ITEM_ADD_LIMIT_YANG	لا يجوز أن تتجاوز البنود المعروضة للبيع إجمالي القيمة المسموح بها.
PREMIUM_PRIVATE_MODIFY_LIMIT_WON	هذا أكثر من 3000 وون. الرجاء جمع الأموال أولا.
PREMIUM_PRIVATE_MODIFY_LIMIT_YANG	هذا أكثر من 2 مليار يانغ. الرجاء جمع الأموال أولا.
PREMIUM_PRIVATE_SHOP_CANNOT_OPEN_MAP	لا يمكنك فتح ذلك على هذه الخريطة.
PREMIUM_PRIVATE_SHOP_CLOSE_QUESTIONG	هل تريد إغلاق المتجر الشخصي؟
PREMIUM_PRIVATE_SHOP_DURATION	المدة: %s
PREMIUM_PRIVATE_SHOP_MODIFY_STATE_OPEN_FAIL	المتجر غير مفتوح حاليا لأنه تحت الإدارة.
PREMIUM_PRIVATE_SHOP_NO_BUFF	هذا الزر للمتجر الشخصي المميز. عليك شرائه من المتجر لاستخدامه.
PREMIUM_PRIVATE_SHOP_PASSWORD_DESC1	الرجاء إدخال كلمة المرور،
PREMIUM_PRIVATE_SHOP_PASSWORD_DESC2	لفتح المتجر الشخصي المميز.
PREMIUM_PRIVATE_SHOP_PASSWORD_TITLE	كلمة السر
PREMIUM_PRIVATE_SHOP_POSITION	%s (%d،%d) - CH-%d
PREMIUM_PRIVATE_SHOP_USE_ITEM	هل تريد استخدام بند "المتجر الشخصي المميز"؟
PREMIUM_PRIVATE_TAX_ADJUSTMENT_LIMIT_WON	لا يمكنك تحصيل الأموال حيث سيكون لديك أكثر من 3000 وون.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_LIMIT_YANG	لا يمكنك تحصيل الأموال لأنه سيكون لديك أكثر من 2 مليار يانغ.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_NONE	لا يوجد نقود لجمعها.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_OVERFLOW_WON	لقد أودعت وون أكثر مما يمكنك سحبه.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_OVERFLOW_YANG	لقد أودعت يانغ أكثر مما يمكنك سحبه.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_WRONG_INPUT	لا يمكنك تحصيل الأموال لأنك أدخلت مبلغًا كبيرًا جدًا.
PRIVATESHOPSEARCH_ABLITY_POTION	ندى
PRIVATESHOPSEARCH_ACCESSORY_SOCKET	ثوب رفيع
PRIVATESHOPSEARCH_ARMOR	دروع
PRIVATESHOPSEARCH_ARROW	سهام
PRIVATESHOPSEARCH_BELL	أجراس
PRIVATESHOPSEARCH_BELT	أحزمة
PRIVATESHOPSEARCH_BLEND	جرعات
PRIVATESHOPSEARCH_BLOOD_PEARL	لؤلؤة كرزية
PRIVATESHOPSEARCH_BLUE_PEARL	لؤلؤة زرقاء
PRIVATESHOPSEARCH_BODY	دروع
PRIVATESHOPSEARCH_BOW	أقواس
PRIVATESHOPSEARCH_BUYTIME	هل ترغب في شراء هذا البند الذي اخترته؟
PRIVATESHOPSEARCH_CLAW	مخالب
PRIVATESHOPSEARCH_CLEAR_POTION	إكسيرات
PRIVATESHOPSEARCH_COSTUME	أزياء
PRIVATESHOPSEARCH_COSTUMEBODY	زي
PRIVATESHOPSEARCH_COSTUMEHAIR	تسريحة شعر
PRIVATESHOPSEARCH_COSTUME_ACCE	أوشحة
PRIVATESHOPSEARCH_COSTUME_MOUNT	دابّة
PRIVATESHOPSEARCH_CRYSTAL	بلُّور
PRIVATESHOPSEARCH_DAGGER	خناجر
PRIVATESHOPSEARCH_DEAD	ميّت
PRIVATESHOPSEARCH_DETACHMENT	دليل الحجر
PRIVATESHOPSEARCH_DIAMOND	ماسة
PRIVATESHOPSEARCH_DS	كيمياء حجر التنين
PRIVATESHOPSEARCH_DS_BLACK	جزع
PRIVATESHOPSEARCH_DS_BLUE	ياقوت
PRIVATESHOPSEARCH_DS_GREEN	يشم
PRIVATESHOPSEARCH_DS_RED	ياقوت
PRIVATESHOPSEARCH_DS_WHITE	ماسة
PRIVATESHOPSEARCH_DS_YELLOW	عقيق
PRIVATESHOPSEARCH_EAR	حلق
PRIVATESHOPSEARCH_FAN	مراوح
PRIVATESHOPSEARCH_FISH	أسماك
PRIVATESHOPSEARCH_FOOTS	أحذية
PRIVATESHOPSEARCH_GEM	مجوهرات
PRIVATESHOPSEARCH_GIFTBOX	صناديق الهدايا
PRIVATESHOPSEARCH_HEAD	خوذات
PRIVATESHOPSEARCH_LIVE	حيّ
PRIVATESHOPSEARCH_MATERIAL	مواد
PRIVATESHOPSEARCH_METIN	أحجار شبحية
PRIVATESHOPSEARCH_NECK	قلائد
PRIVATESHOPSEARCH_NEED_ITEM_BUY	لا يمكنك شراء أشياء دون الحزمة الصحيحة.
PRIVATESHOPSEARCH_NEED_ITEM_FIND	لا يمكنك البحث عن أشياء دون الحزمة الصحيحة.
PRIVATESHOPSEARCH_NEED_ITEM_NAME	البحث عن طريق الإسم
PRIVATESHOPSEARCH_NODELAY_POTION	بنود نقاط الحياة
PRIVATESHOPSEARCH_ORE	معدن خام
PRIVATESHOPSEARCH_PET	نظام الرّفاق
PRIVATESHOPSEARCH_PETAGG	بيض الرّفاق
PRIVATESHOPSEARCH_PETSKILLBOOK	كتاب مهارات الرفيق
PRIVATESHOPSEARCH_PICK	مَناكِيش
PRIVATESHOPSEARCH_POTION	جرعات
PRIVATESHOPSEARCH_QUEST	مهمة
PRIVATESHOPSEARCH_QUIVER	جعبة السّهام
PRIVATESHOPSEARCH_RESOURCE	تحسين البنود
PRIVATESHOPSEARCH_ROD	صيد السمك
PRIVATESHOPSEARCH_SELECTITEM	قم باختيار بند.
PRIVATESHOPSEARCH_SHIELD	أتراس
PRIVATESHOPSEARCH_SKILLBOOK	كُتب المهارات
PRIVATESHOPSEARCH_SKILLFORGET	كتاب النسيان
PRIVATESHOPSEARCH_SPECIAL	غيره
PRIVATESHOPSEARCH_STONE	شظايا الطاقة
PRIVATESHOPSEARCH_SWORD	سيف يد واحدة
PRIVATESHOPSEARCH_TREASUREBOX	صناديق
PRIVATESHOPSEARCH_TUNING	لفائف
PRIVATESHOPSEARCH_TWOSWORD	سيف اليدين
PRIVATESHOPSEARCH_UNIQUE	فريد من نوعه
PRIVATESHOPSEARCH_USEITEM	أشياء استهلاكية
PRIVATESHOPSEARCH_USESPECIAL	غيره
PRIVATESHOPSEARCH_WEAPON	أسلحة
PRIVATESHOPSEARCH_WHITE_PEARL	لؤلؤة بيضاء
PRIVATESHOPSEARCH_WRIST	أساور
PRIVATE_SHOP_CANNOT_SELL_ITEM	لا يُمكنك بيع هذا الشيء في متجر خاص.
PRIVATE_SHOP_CLOSE_QUESTION	هل تريد إغلاق المتجر الخاص؟
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	اسم المتجر الخاص
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	سعر
PRIVATE_SHOP_NEED_MONEY	البحث حسب السعر
PRIVATE_SHOP_SEARCH_VNUM_ITEM_NOT_FOUND	لم يتم العثور على أي نتيجة.
PRIVATE_SHOP_SEARCH_VNUM_ITEM_NOT_SELECTED	اختر بندا للبحث.
PVP_LEVEL0	فارسي
PVP_LEVEL1	نَبِيل
PVP_LEVEL2	جَيِّد
PVP_LEVEL3	لطيف
PVP_LEVEL4	محايد
PVP_LEVEL5	عدائي
PVP_LEVEL6	ماكر
PVP_LEVEL7	خبيث
PVP_LEVEL8	فَظِيع
PVP_MODE_GUILD	تفعيل الرابطة - نظام لاعب ضد لاعب
PVP_MODE_KILL	نظام لاعب ضد لاعب - بدون قيد
PVP_MODE_NORMAL	نظام لاعب ضد لاعب - تشغيل السلام
PVP_MODE_PROTECT	لاعب ضد لاعب - تفعيل الحماية
PVP_MODE_REVENGE	لاعب ضد لاعب - نظام عدائي
PVP_OPTION_KILL	بدون قيد
PVP_OPTION_NORMAL	السلام
PVP_OPTION_PROTECT	الحماية
PVP_OPTION_REVENGE	عدائي
PVP_TOURNAMENT_DO_NOT_AUTO	لا يمكنك استخدام الهجوم التلقائي خلال بطولة المبارزة PvP.
QUEST_APPEND	تم تسجيل أمر جديد.
QUEST_HOUR	ساعة/ساعات
QUEST_MIN	دقيقة
QUEST_SEC	ثانية
QUEST_TIMEOVER	انتهى الوقت
QUEST_UNLIMITED_TIME	بدون قيدٍ زمني
QUEST_ZEROSEC	0 ثانية
QUICKSLOT_REGISTER_DISABLE_ITEM	لا يمكن زيادة هذا الغرض إلى ساحة الهجوم السريع.
RAMADAN_EVENT_BREAD_MAX_COUNT	لقد وصلت إلى الحد الأقصى الممكن من الخبز.
RAMADAN_EVENT_FIG_MAX_COUNT	لقد وصلت إلى الحد الأقصى الممكن من ثمرة الثواب.
RAMADAN_EVENT_GET_BREAD	لقد حصلت على 1 خبز.
RAMADAN_EVENT_GET_FIG	لقد حصلت على 1 ثمرة الثواب.
RAMADAN_EVENT_NOT_ENOUGH_BREAD	أنت بحاجة إلى 10 من الخبز.
RANKING	رتبة
RANKING_BOARD_MEMBER	الأعضاء
RECEIVE_MESSAGE	%s أرسل لك رسالة.
REFINE_COST	تكاليف التحسين: %d يانغ
REFINE_DESTROY_WARNING	قد يؤدي تحسين هذا الشيء إلى تدميره.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	هل تريد بالفعل تحسين هذا الشئ؟
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	قد يتعرض هذا الشيء للتدمير عند الفشل. هل ترغب رغم ذلك في الاستمرار؟
REFINE_DOWN_GRADE_WARNING	قد تتسبب عملية التحسين في التخفيض من قيمة هذا الشيء.
REFINE_DO_YOU_SEPARATE_METIN	حذف جميع الأحجار الشّبحية؟
REFINE_ELEMENT_CHANGE_TEXT	لقد حصل %s على العنصر %s!
REFINE_ELEMENT_DOWNGRADE_TEXT	تم تخفيض مستوى سحر العناصر.
REFINE_ELEMENT_EXIST	يحتوي البند بالفعل على عنصر آخر.
REFINE_ELEMENT_GRADE_MAX	تم الوصول إلى الحد الأقصى لمستوى سحر العناصر.
REFINE_ELEMENT_NOT_ENOUGHT_GRADE	يتوفر سحر العناصر للأسلحة في مستوى +7 فأعلى.
REFINE_ELEMENT_NOT_ENOUGHT_YANG	ليس لديك يانغ كافٍ.
REFINE_ELEMENT_NOT_EXSIT	لا يمكن استخدامه مع هذا البند.
REFINE_ELEMENT_TEXT_DARK	ظلام +%d
REFINE_ELEMENT_TEXT_EARTH	أرض +%d
REFINE_ELEMENT_TEXT_ELECT	برق +%d
REFINE_ELEMENT_TEXT_FIRE	نار +%d
REFINE_ELEMENT_TEXT_ICE	جليد +%d
REFINE_ELEMENT_TEXT_WIND	رياح +%d
REFINE_ELEMENT_UPGRADE_FAIL_TEXT	لقد فشلت سحر العناصر.
REFINE_ELEMENT_UPGRADE_SUCCESS_TEXT	لقد نجح سحر العناصر.
REFINE_FAILURE	للأسف،لم ننجح! لقد فشلنا.
REFINE_FAILURE_CAN_NOT_ATTACH0	لا يستطيع %s إضافة أي شيء لهذا البند.
REFINE_FAILURE_DEL_ITEM	لقد فشلت عملية الصقل. لقد تم تدمير هذا الشيء.
REFINE_FAILURE_EQUIP_ITEM	لا يمكنك تحسين الأشياء المُدرعة.
REFINE_FAILURE_GEM_SELECT_WINDOW_OPENED	لا يمكنك استخدام الحجر الشّبحي أثناء فتح هذه النافذة.
REFINE_FAILURE_GRADE_DOWN	لقد فشلت عملية الصقل. لقد تم تخفيض مستوى هذا الشيء.
REFINE_FAILURE_KEEP_GRADE	لقد فشلت عملية الصقل.\nلحسن الحظ، لقد تم الحفاظ على هذا الشيء.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	لا يمحنك حذف حجر الشبح.
REFINE_FAILURE_NEED_BETTER_SCROLL	إنك بحاجة إلى لفيفة تحسين أحسن من هذه.
REFINE_FAILURE_NO_GOLD_SOCKET	لا يوجد هناك مقبس ذهبي، لإضافة %s.
REFINE_FAILURE_NO_MORE_REINFORCE	لا يمكنك تحسين ذلك أكثر.
REFINE_FAILURE_NO_MORE_SOCKET	لا يُمكنك إضافة مقابس جديدة.
REFINE_FAILURE_NO_SOCKET0	لا يوجد مقبس فارغ من أجل %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	لا يمكنك إضافة مقابس إضافية لهذا البند.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	لا يمكن تحسين هذا البند.
REFINE_POPUP_NO_DOWNGRADE_MESSAGE	لن يتعرض الشيء الذي تم تحسينه إلى التدمير أو التشويه.
REFINE_QUESTION_CONFIRM	هل ترغب في المتابعة؟
REFINE_QUESTION_WARNING_DOWN_GRADE_AND_REFIX_REMOVE	إذا فشلت عملية التحسين، سينخفض المستوى لدرجة أقل من الحد الأدنى لتأثير الطقم، وسيتم الغاء تأثير الطقم.
REFINE_QUESTION_WARNING_PREFIX_REMOVE	إذا قمت بتحسين البند فسيتم حذف تأثير الطقم.
REFINE_SUCCESS	لقد تم تحسين هذا البند بنجاح.
REFINE_SUCCESS_PROBALITY	فرص التحسين: %d%%
REFINE_WARNING2	هل تريد الاستمرار بالتحسين؟
RESTART_HERE_BUTTON_TEXT_SUNGMAHEE_GATE	إعادة احياء
RESTART_POPUP_GIVEUP_ELEMENTAL_DUNGEON	لقد مت. \nعد من عالم العناصر!
RESTART_POPUP_GIVEUP_GOLDEN_LAND_STAGE	إذا مت، سيتم نقلك فورًا إلى الأرض الذهبية.\n\n نصيحة: يمكنك تجنب التعرض للقتل بسبب الأبراج المتفجرة باستخدام تذكرة حماية من الانفجار.\n
RESTART_POPUP_GIVEUP_MIST_ISLAND	لقد وقعت في معركة الأضرحة الخمسة.\n أنت الآن تعود إلى القرية.
RESTART_POPUP_GIVEUP_OTHER_WORLD_DUNGEON	شخصيتك ميتة. \nسيتم نقلك قريبًا إلى المدينة.
RESTART_POPUP_GIVEUP_SUNGMAHEE_TOWER	هزيمة مريرة! رحلتك تنتهي هنا.
RESTART_POPUP_RESTART_HERE_SUNGMAHEE_GATE	باستخدام قوة تأثير الإزهار أو استرجاع الحياة يمكنك إحياء نفسك على الفور.\n\nأو سيتم إحياؤك في مكان عشوائي في هذه المنطقة.
REVIVE_QUESTION	هل ترغب في إعادة إحياء %s؟ عدد مناشير الإحياء: %d قطعة
REVIVE_SELF_QUESTION	هل ترغب في إعادة إحياء نفسك؟ عدد مناشير الإحياء: %d قطعة
ROULETTE_REWARD_TEXT	احصل على بند
SAFEBOX_ERROR	إن كلمة السر غير صحيحة.
SAFEBOX_NEED_CHANGE_PASSWORD	انتهت صلاحية كلمة السر الخاصة بك.\nيرجى اختيار كلمة سر جديدة.
SAFEBOX_SELL_DISABLE_SAFEITEM	لا يُمكنك بيع أي من الأشياء المَحفُوظة.
SAFEBOX_UNAVILABLE_PASSWORD_01	لا يمكنك استخدام كلمة السّر هذه.
SAFEBOX_UNAVILABLE_PASSWORD_02	يجب أن تحتوي كلمة السر على %d أحرف على الأقل.
SAFEBOX_UNAVILABLE_PASSWORD_03	لقد قمت بإدخال كلمة سرك الحالية. يرجى اختيار كلمة سر جديدة.
SAFEBOX_UNAVILABLE_PASSWORD_04	لا يمكن لكلمة السر الخاصة بك أن تحتوي على رقم مكرر %d مرات أو على أرقام متسلسلة.
SAFEBOX_UNAVILABLE_PASSWORD_05	لا يمكنك إستخدام رموز خاصة. الأحرف المسموح بها: a-z، A-Z، 0-9
SAFEBOX_WRONG_PASSWORD	يجب أن تكون كلمات السر متطابقة.
SCREENSHOT_SAVE1	حُفظت في
SCREENSHOT_SAVE2	ملف صور اللعبة
SCREENSHOT_SAVE_FAILURE	فشِل حِفظ صور اللعبة
SEAL_SCROLL_USE_SUCCESS	تم ربط %s بالروح بنجاح.
SECOND	ثانية
SECOND_CONFIRM_PET_FEED_QUESTION_1	يحتوي البند على %d أو أكثر من العلاوات.
SECOND_CONFIRM_PET_FEED_QUESTION_2	هل أنت متأكد بأنك تود إطعام الرفيق هذا البند؟
SECOND_CONFIRM_SELL_ITEM_QUESTION_1	يحتوي البند على %d أو أكثر من العلاوات.
SECOND_CONFIRM_SELL_ITEM_QUESTION_2	هل أنت متأكد بأنك تود بيع هذا البند؟
SECRET_DUNGEON_CREATE_REWARD_IMPOSSIBLE	هل ترغب في دخول معبد الألغاز؟\nلم يعد بإمكانك الحصول على مكافأة يومية (الوقت المتبقي: %s)
SECRET_DUNGEON_CREATE_REWARD_POSSIBLE	هل ترغب في دخول معبد الألغاز؟\nيمكنك الحصول على مكافأة يومية.
SECRET_DUNGEON_ENTER_DUNGEON_RE_REQUEST	عليك مغادرة المجموعة إذا لم تدخل.\nهل تريد الدخول؟
SECRET_DUNGEON_ENTER_LIMIT_TIME	الوقت المتبقي للدخول: %d ثانية
SECRET_DUNGEON_ENTER_MEMBER_REWARD_IMPOSSIBLE	تم إنشاء نموذج لمعبد الألغاز. هل ترغب في الدخول؟\nلم يعد بإمكانك الحصول على مكافأة يومية (الوقت المتبقي: %s)
SECRET_DUNGEON_ENTER_MEMBER_REWARD_POSSIBLE	تم إنشاء نموذج لمعبد الألغاز. هل ترغب في الدخول؟\nيمكنك الحصول على مكافأة يومية.
SECRET_DUNGEON_ENTER_QUESTION_ANSWER_TIMEOVER	لقد رفضت الدخول.
SECRET_DUNGEON_ENTER_QUESTION_NO	كلّا
SECRET_DUNGEON_ENTER_QUESTION_YES	نعم
SELECT_ATTR_NOTICE	لا يمكنك فتح متجر خاص أثناء استعمالك لوظيفة سحر الشيء+.
SELECT_ATTR_NOT_OPEN	لا يمكنك استعمال وظيفة سحر الشيء+ إذا كنت قد فتحت متجرًا خاصًّا بك مُسبقًا.
SELECT_ATTR_NOT_SELECT	قرّر إذا كُنت ترغب في الاحتفاظ بالعلاوات أو استبدالها.
SELECT_CAN_NOT_DELETE	لا يُمكنك حذف هذه الشخصية.
SELECT_CAN_NOT_DELETE_ATTR67	لا يمكنك حذف الشخصية،\n أثناء إضافة علاوة.
SELECT_CAN_NOT_DELETE_GUILD_MEMBER	لا يمكنك حذف الشخصية طالما أنت عضو في رابطة.
SELECT_CAN_NOT_DELETE_HAVE_SEALED_ITEM	لا يمكنك حذف الشخصية طالما يوجد لديك بنود مربوطة بالروح.
SELECT_CAN_NOT_DELETE_LAST_CHAR_SAFEBOX	لا يمكنك حذف الشخصية طالما لديك بنود في المستودع.
SELECT_CAN_NOT_DELETE_LIMITE_LEVEL	يمكنك حذف شخصيتك حتى مستوى 119 كحد أقصى.
SELECT_CAN_NOT_DELETE_MARRIAGE	لا يمكنك حذف شخصية متزوجة.
SELECT_CAN_NOT_DELETE_PREMIUM_PRIVATE_SHOP	لا يزال لديك سلع في متجرك الشخصي.
SELECT_CAN_NOT_DELETE_PRIVATE_CODE_ERROR	رمز الحذف غير صحيح.
SELECT_CAN_NOT_DELETE_REMAIN_TIME	لا يمكنك حذف الشخصية مباشرة بعد انشائها. وقت الانتظار: %s
SELECT_CHANGED_NAME	لقد قُمت بتغيير اسم هذه الشخصية.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	إن اسم الشخصية المختار مُستعمل.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	حاول مجدداً.
SELECT_CHANGE_FAILURE_STRANGE_NAME	اسم الشخصية غير صحيح.
SELECT_CHANGE_NAME_TITLE	تغيير اسم الشخصية
SELECT_DELEING	بدأت عملية الحذف ...
SELECT_DELETED	تم الحذف بنجاح.
SELECT_DO_YOU_DELETE_REALLY	هل ترغب في المتابعة؟
SELECT_EMPTY_SLOT	إن هذه الخانة فارغة.
SELECT_GM_NAME	سيد اللعبة
SELECT_INPUT_CHANGING_NAME	الرجاء إدخال اسم جديد للشخصية.
SELECT_METINSTONE_NOT_ENOUGH_INVENTORY_SPACE	لا يوجد مكان كافي في قائمة الجرد.
SELECT_NOT_JOIN_GUILD	بدون رابطة
SERVER_NOTIFY_CLOSED	خادم مغلق: يمكن فقط للحسابات التي تم انشائها قبل إغلاق الخادم الدخول اليه.
